centerPathDist,indPathDist,ForagingIntake,foraginIntakeSD,GroupSize,influenceType,path,corePer,PathFood,pathWidth,steps,
505.6608613,505.5303303,0.183225556,0.008397306,50,2,8,0.1,0.001,25,18000,302
9999,9999,0.428772222,0.035048428,50,2,0,0.9,0.001,25,18000,303
69.78417988,214.0282176,0.466698889,0.028522063,50,2,1,0.9,0.001,25,18000,304
155.5499954,226.4853967,0.453101111,0.039610851,50,2,2,0.9,0.001,25,18000,305
134.752764,287.1638621,0.400721111,0.037904442,50,2,4,0.9,0.001,25,18000,306
194.8964762,232.5681644,0.44768,0.03328527,50,2,8,0.9,0.001,25,18000,307
9999,9999,0.252168889,0.01402901,50,2,0,0.1,0.001,25,18000,308
60.10081094,67.02529401,0.3565,0.014056389,50,2,1,0.1,0.001,25,18000,309
603.9921907,604.7877964,0.236886667,0.013088855,50,2,2,0.1,0.001,25,18000,310
150.828574,155.5832232,0.263834444,0.012979516,50,2,4,0.1,0.001,25,18000,311
302.7900954,306.0648839,0.255256667,0.014126373,50,2,8,0.1,0.001,25,18000,312
9999,9999,0.452001111,0.032253745,50,2,0,0.9,0.001,25,18000,313
138.4891131,184.8732462,0.459532222,0.031632102,50,2,1,0.9,0.001,25,18000,314
149.0031749,255.9782109,0.44554,0.042052774,50,2,2,0.9,0.001,25,18000,315
